,start,end,type,var
0,6,7,IS_AST_PARENT,
1,6,8,IS_AST_PARENT,
2,9,10,IS_AST_PARENT,
3,12,13,IS_AST_PARENT,
4,11,12,IS_AST_PARENT,
5,15,16,IS_AST_PARENT,
6,14,15,IS_AST_PARENT,
7,11,14,IS_AST_PARENT,
8,9,11,IS_AST_PARENT,
9,6,9,IS_AST_PARENT,
10,5,6,IS_AST_PARENT,
11,4,5,IS_AST_PARENT,
12,18,19,IS_AST_PARENT,
13,18,20,IS_AST_PARENT,
14,21,22,IS_AST_PARENT,
15,21,23,IS_AST_PARENT,
16,18,21,IS_AST_PARENT,
17,17,18,IS_AST_PARENT,
18,4,17,IS_AST_PARENT,
19,25,26,IS_AST_PARENT,
20,25,27,IS_AST_PARENT,
21,28,29,IS_AST_PARENT,
22,31,32,IS_AST_PARENT,
23,30,31,IS_AST_PARENT,
24,34,35,IS_AST_PARENT,
25,33,34,IS_AST_PARENT,
26,36,37,IS_AST_PARENT,
27,33,36,IS_AST_PARENT,
28,30,33,IS_AST_PARENT,
29,28,30,IS_AST_PARENT,
30,25,28,IS_AST_PARENT,
31,24,25,IS_AST_PARENT,
32,4,24,IS_AST_PARENT,
33,39,40,IS_AST_PARENT,
34,39,41,IS_AST_PARENT,
35,42,43,IS_AST_PARENT,
36,42,44,IS_AST_PARENT,
37,39,42,IS_AST_PARENT,
38,38,39,IS_AST_PARENT,
39,4,38,IS_AST_PARENT,
40,46,47,IS_AST_PARENT,
41,46,48,IS_AST_PARENT,
42,49,50,IS_AST_PARENT,
43,49,51,IS_AST_PARENT,
44,46,49,IS_AST_PARENT,
45,45,46,IS_AST_PARENT,
46,4,45,IS_AST_PARENT,
47,53,54,IS_AST_PARENT,
48,53,55,IS_AST_PARENT,
49,56,57,IS_AST_PARENT,
50,56,58,IS_AST_PARENT,
51,53,56,IS_AST_PARENT,
52,52,53,IS_AST_PARENT,
53,4,52,IS_AST_PARENT,
54,60,61,IS_AST_PARENT,
55,63,64,IS_AST_PARENT,
56,62,63,IS_AST_PARENT,
57,66,67,IS_AST_PARENT,
58,65,66,IS_AST_PARENT,
59,69,70,IS_AST_PARENT,
60,69,71,IS_AST_PARENT,
61,68,69,IS_AST_PARENT,
62,65,68,IS_AST_PARENT,
63,72,73,IS_AST_PARENT,
64,65,72,IS_AST_PARENT,
65,75,76,IS_AST_PARENT,
66,75,77,IS_AST_PARENT,
67,74,75,IS_AST_PARENT,
68,65,74,IS_AST_PARENT,
69,79,80,IS_AST_PARENT,
70,79,81,IS_AST_PARENT,
