,command,key,type,code,location,functionId,childNum,isCFGNode,operator,baseType,completeType,identifier
0,ANR,1,File,tmp\\22156ab498acf5f8104801148732ae8e83f336a0.c,,,,,,,,
1,ANR,2,Function,net_checksum_add,1:0:0:258,,,,,,,
2,ANR,3,FunctionDef,"""net_checksum_add (int len , uint8_t * buf)""",,2,0,,,,,
3,ANR,4,CompoundStatement,,3:0:52:258,2,0,,,,,
4,ANR,5,IdentifierDeclStatement,uint32_t sum = 0 ;,5:4:61:77,2,0,True,,,,
5,ANR,6,IdentifierDecl,sum = 0,,2,0,,,,,
6,ANR,7,IdentifierDeclType,uint32_t,,2,0,,,,,
7,ANR,8,Identifier,sum,,2,1,,,,,
8,ANR,9,AssignmentExpression,sum = 0,,2,2,,=,,,
9,ANR,10,Identifier,sum,,2,0,,,,,
10,ANR,11,PrimaryExpression,0,,2,1,,,,,
11,ANR,12,IdentifierDeclStatement,int i ;,7:4:86:91,2,1,True,,,,
12,ANR,13,IdentifierDecl,i,,2,0,,,,,
13,ANR,14,IdentifierDeclType,int,,2,0,,,,,
14,ANR,15,Identifier,i,,2,1,,,,,
15,ANR,16,ForStatement,for ( i = 0 ; i < len ; i ++ ),,2,2,,,,,
16,ANR,17,ForInit,i = 0 ;,11:9:109:114,2,0,True,,,,
17,ANR,18,AssignmentExpression,i = 0,,2,0,,=,,,
18,ANR,19,Identifier,i,,2,0,,,,,
19,ANR,20,PrimaryExpression,0,,2,1,,,,,
20,ANR,21,Condition,i < len,11:16:116:122,2,1,True,,,,
21,ANR,22,RelationalExpression,i < len,,2,0,,<,,,
22,ANR,23,Identifier,i,,2,0,,,,,
23,ANR,24,Identifier,len,,2,1,,,,,
24,ANR,25,PostIncDecOperationExpression,i ++,11:25:125:127,2,2,True,,,,
25,ANR,26,Identifier,i,,2,0,,,,,
26,ANR,27,IncDec,++,,2,1,,,,,
27,ANR,28,CompoundStatement,,9:30:77:77,2,3,,,,,
28,ANR,29,IfStatement,if ( i & 1 ),,2,0,,,,,
29,ANR,30,Condition,i & 1,13:5:140:144,2,0,True,,,,
30,ANR,31,BitAndExpression,i & 1,,2,0,,&,,,
31,ANR,32,Identifier,i,,2,0,,,,,
32,ANR,33,PrimaryExpression,1,,2,1,,,,,
33,ANR,34,ExpressionStatement,sum += ( uint32_t ) buf [ i ],15:5:155:178,2,1,True,,,,
34,ANR,35,AssignmentExpression,sum += ( uint32_t ) buf [ i ],,2,0,,+=,,,
35,ANR,36,Identifier,sum,,2,0,,,,,
36,ANR,37,CastExpression,( uint32_t ) buf [ i ],,2,1,,,,,
37,ANR,38,CastTarget,uint32_t,,2,0,,,,,
38,ANR,39,ArrayIndexing,buf [ i ],,2,1,,,,,
39,ANR,40,Identifier,buf,,2,0,,,,,
40,ANR,41,Identifier,i,,2,1,,,,,
41,ANR,42,ElseStatement,else,,2,0,,,,,
42,ANR,43,ExpressionStatement,sum += ( uint32_t ) buf [ i ] << 8,19:5:197:225,2,0,True,,,,
43,ANR,44,AssignmentExpression,sum += ( uint32_t ) buf [ i ] << 8,,2,0,,+=,,,
44,ANR,45,Identifier,sum,,2,0,,,,,
45,ANR,46,ShiftExpression,( uint32_t ) buf [ i ] << 8,,2,1,,<<,,,
46,ANR,47,CastExpression,( uint32_t ) buf [ i ],,2,0,,,,,
47,ANR,48,CastTarget,uint32_t,,2,0,,,,,
48,ANR,49,ArrayIndexing,buf [ i ],,2,1,,,,,
49,ANR,50,Identifier,buf,,2,0,,,,,
50,ANR,51,Identifier,i,,2,1,,,,,
51,ANR,52,PrimaryExpression,8,,2,1,,,,,
52,ANR,53,ReturnStatement,return sum ;,23:4:243:253,2,3,True,,,,
53,ANR,54,Identifier,sum,,2,0,,,,,
54,ANR,55,ReturnType,uint32_t,,2,1,,,,,
55,ANR,56,Identifier,net_checksum_add,,2,2,,,,,
56,ANR,57,ParameterList,"""int len , uint8_t * buf""",,2,3,,,,,
57,ANR,58,Parameter,int len,1:26:26:32,2,0,True,,,,
58,ANR,59,ParameterType,int,,2,0,,,,,
59,ANR,60,Identifier,len,,2,1,,,,,
60,ANR,61,Parameter,uint8_t * buf,1:35:35:46,2,1,True,,,,
61,ANR,62,ParameterType,uint8_t *,,2,0,,,,,
62,ANR,63,Identifier,buf,,2,1,,,,,
63,ANR,64,CFGEntryNode,ENTRY,,2,,True,,,,
64,ANR,65,CFGExitNode,EXIT,,2,,True,,,,
65,ANR,66,Symbol,buf,,2,,,,,,
66,ANR,67,Symbol,* buf,,2,,,,,,
67,ANR,68,Symbol,* i,,2,,,,,,
68,ANR,69,Symbol,len,,2,,,,,,
69,ANR,70,Symbol,i,,2,,,,,,
70,ANR,71,Symbol,sum,,2,,,,,,
